region_id	chromosome	start	end	length	num_populations_total	population_label	max_overlap_fraction
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	North-West_Middle Jylland	0.419
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	North-West_North Jylland (Middle)	0.752
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	North-West_North Jylland (Top)	0.678
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	North-West_North Jylland (West)	0.829
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	Outgroup_1	0.106
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	South-East_East Jylland	0.207
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	South-East_North Sjaeland	0.142
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	South-East_Outgroup_2(East Jylland)	0.613
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	South-East_South Costal Denmark	0.59
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	North-West_Middle Jylland	0.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	North-West_North Jylland (Middle)	0.144
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	North-West_North Jylland (Top)	0.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	North-West_North Jylland (West)	0.268
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	Outgroup_1	0.603
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	South-East_East Jylland	0.391
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	South-East_North Sjaeland	0.694
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	South-East_Outgroup_2(East Jylland)	0.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	South-East_South Costal Denmark	1.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	North-West_Middle Jylland	0.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	North-West_North Jylland (Middle)	0.899
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	North-West_North Jylland (Top)	0.967
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	North-West_North Jylland (West)	0.225
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	Outgroup_1	0.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	South-East_East Jylland	0.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	South-East_North Sjaeland	0.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	South-East_Outgroup_2(East Jylland)	0.211
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	South-East_South Costal Denmark	0.0
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	North-West_Middle Jylland	0.455
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	North-West_North Jylland (Middle)	0.046
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	North-West_North Jylland (Top)	0.16
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	North-West_North Jylland (West)	0.046
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	Outgroup_1	0.996
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	South-East_East Jylland	0.0
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	South-East_North Sjaeland	0.0
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	South-East_Outgroup_2(East Jylland)	0.0
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	South-East_South Costal Denmark	0.0
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	North-West_Middle Jylland	0.136
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	North-West_North Jylland (Middle)	0.73
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	North-West_North Jylland (Top)	0.482
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	North-West_North Jylland (West)	0.14
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	Outgroup_1	0.083
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	South-East_East Jylland	0.464
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	South-East_North Sjaeland	0.411
