region_id	chromosome	start	end	length	num_populations_total	population_label	max_overlap_fraction
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	North-West_Middle Jylland	1.0
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	North-West_North Jylland (Middle)	1.0
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	North-West_North Jylland (Top)	1.0
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	North-West_North Jylland (West)	2.0
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	Outgroup_1	1.0
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	South-East_East Jylland	2.0
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	South-East_North Sjaeland	2.0
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	South-East_Outgroup_2(East Jylland)	1.0
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	South-East_South Costal Denmark	1.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	North-West_Middle Jylland	0.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	North-West_North Jylland (Middle)	1.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	North-West_North Jylland (Top)	0.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	North-West_North Jylland (West)	1.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	Outgroup_1	1.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	South-East_East Jylland	1.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	South-East_North Sjaeland	1.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	South-East_Outgroup_2(East Jylland)	0.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	South-East_South Costal Denmark	1.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	North-West_Middle Jylland	0.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	North-West_North Jylland (Middle)	2.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	North-West_North Jylland (Top)	2.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	North-West_North Jylland (West)	1.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	Outgroup_1	0.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	South-East_East Jylland	0.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	South-East_North Sjaeland	0.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	South-East_Outgroup_2(East Jylland)	1.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	South-East_South Costal Denmark	0.0
EntNic_HiC_scaffold_1_R7	HiC_scaffold_1	1477345	1486545	9201	5	North-West_Middle Jylland	1.0
EntNic_HiC_scaffold_1_R7	HiC_scaffold_1	1477345	1486545	9201	5	North-West_North Jylland (Middle)	0.0
EntNic_HiC_scaffold_1_R7	HiC_scaffold_1	1477345	1486545	9201	5	North-West_North Jylland (Top)	1.0
EntNic_HiC_scaffold_1_R7	HiC_scaffold_1	1477345	1486545	9201	5	North-West_North Jylland (West)	1.0
EntNic_HiC_scaffold_1_R7	HiC_scaffold_1	1477345	1486545	9201	5	Outgroup_1	0.0
EntNic_HiC_scaffold_1_R7	HiC_scaffold_1	1477345	1486545	9201	5	South-East_East Jylland	0.0
EntNic_HiC_scaffold_1_R7	HiC_scaffold_1	1477345	1486545	9201	5	South-East_North Sjaeland	0.0
EntNic_HiC_scaffold_1_R7	HiC_scaffold_1	1477345	1486545	9201	5	South-East_Outgroup_2(East Jylland)	0.0
EntNic_HiC_scaffold_1_R7	HiC_scaffold_1	1477345	1486545	9201	5	South-East_South Costal Denmark	0.0
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	North-West_Middle Jylland	2.0
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	North-West_North Jylland (Middle)	1.0
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	North-West_North Jylland (Top)	1.0
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	North-West_North Jylland (West)	1.0
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	Outgroup_1	1.0
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	South-East_East Jylland	0.0
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	South-East_North Sjaeland	0.0
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	South-East_Outgroup_2(East Jylland)	0.0
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	South-East_South Costal Denmark	0.0
EntNic_HiC_scaffold_1_R9	HiC_scaffold_1	2391441	2396817	5377	1	North-West_Middle Jylland	0.0
EntNic_HiC_scaffold_1_R9	HiC_scaffold_1	2391441	2396817	5377	1	North-West_North Jylland (Middle)	0.0
EntNic_HiC_scaffold_1_R9	HiC_scaffold_1	2391441	2396817	5377	1	North-West_North Jylland (Top)	0.0
EntNic_HiC_scaffold_1_R9	HiC_scaffold_1	2391441	2396817	5377	1	North-West_North Jylland (West)	0.0
EntNic_HiC_scaffold_1_R9	HiC_scaffold_1	2391441	2396817	5377	1	Outgroup_1	1.0
EntNic_HiC_scaffold_1_R9	HiC_scaffold_1	2391441	2396817	5377	1	South-East_East Jylland	0.0
EntNic_HiC_scaffold_1_R9	HiC_scaffold_1	2391441	2396817	5377	1	South-East_North Sjaeland	0.0
EntNic_HiC_scaffold_1_R9	HiC_scaffold_1	2391441	2396817	5377	1	South-East_Outgroup_2(East Jylland)	0.0
EntNic_HiC_scaffold_1_R9	HiC_scaffold_1	2391441	2396817	5377	1	South-East_South Costal Denmark	0.0
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	North-West_Middle Jylland	1.0
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	North-West_North Jylland (Middle)	2.0
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	North-West_North Jylland (Top)	2.0
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	North-West_North Jylland (West)	1.0
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	Outgroup_1	1.0
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	South-East_East Jylland	2.0
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	South-East_North Sjaeland	1.0
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	South-East_Outgroup_2(East Jylland)	2.0
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	South-East_South Costal Denmark	1.0
EntNic_HiC_scaffold_1_R12	HiC_scaffold_1	3139011	3170224	31214	8	North-West_Middle Jylland	3.0
EntNic_HiC_scaffold_1_R12	HiC_scaffold_1	3139011	3170224	31214	8	North-West_North Jylland (Middle)	1.0
EntNic_HiC_scaffold_1_R12	HiC_scaffold_1	3139011	3170224	31214	8	North-West_North Jylland (Top)	1.0
EntNic_HiC_scaffold_1_R12	HiC_scaffold_1	3139011	3170224	31214	8	North-West_North Jylland (West)	1.0
EntNic_HiC_scaffold_1_R12	HiC_scaffold_1	3139011	3170224	31214	8	Outgroup_1	0.0
