region_id	chromosome	start	end	length	num_populations_total	population_label	max_overlap_fraction
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	North-West_Middle Jylland	0.419
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	North-West_North Jylland (Middle)	0.752
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	North-West_North Jylland (Top)	0.678
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	North-West_North Jylland (West)	0.829
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	Outgroup_1	0.106
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	South-East_East Jylland	0.207
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	South-East_North Sjaeland	0.142
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	South-East_Outgroup_2(East Jylland)	0.613
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	South-East_South Costal Denmark	0.59
EntNic_HiC_scaffold_1_R3	HiC_scaffold_1	1100570	1104789	4220	1	North-West_Middle Jylland	0.0
EntNic_HiC_scaffold_1_R3	HiC_scaffold_1	1100570	1104789	4220	1	North-West_North Jylland (Middle)	0.0
EntNic_HiC_scaffold_1_R3	HiC_scaffold_1	1100570	1104789	4220	1	North-West_North Jylland (Top)	0.0
EntNic_HiC_scaffold_1_R3	HiC_scaffold_1	1100570	1104789	4220	1	North-West_North Jylland (West)	0.0
EntNic_HiC_scaffold_1_R3	HiC_scaffold_1	1100570	1104789	4220	1	Outgroup_1	1.0
EntNic_HiC_scaffold_1_R3	HiC_scaffold_1	1100570	1104789	4220	1	South-East_East Jylland	0.0
EntNic_HiC_scaffold_1_R3	HiC_scaffold_1	1100570	1104789	4220	1	South-East_North Sjaeland	0.0
EntNic_HiC_scaffold_1_R3	HiC_scaffold_1	1100570	1104789	4220	1	South-East_Outgroup_2(East Jylland)	0.0
EntNic_HiC_scaffold_1_R3	HiC_scaffold_1	1100570	1104789	4220	1	South-East_South Costal Denmark	0.0
EntNic_HiC_scaffold_1_R4	HiC_scaffold_1	1127465	1130399	2935	1	North-West_Middle Jylland	0.0
EntNic_HiC_scaffold_1_R4	HiC_scaffold_1	1127465	1130399	2935	1	North-West_North Jylland (Middle)	1.0
EntNic_HiC_scaffold_1_R4	HiC_scaffold_1	1127465	1130399	2935	1	North-West_North Jylland (Top)	0.0
EntNic_HiC_scaffold_1_R4	HiC_scaffold_1	1127465	1130399	2935	1	North-West_North Jylland (West)	0.0
EntNic_HiC_scaffold_1_R4	HiC_scaffold_1	1127465	1130399	2935	1	Outgroup_1	0.0
EntNic_HiC_scaffold_1_R4	HiC_scaffold_1	1127465	1130399	2935	1	South-East_East Jylland	0.0
EntNic_HiC_scaffold_1_R4	HiC_scaffold_1	1127465	1130399	2935	1	South-East_North Sjaeland	0.0
EntNic_HiC_scaffold_1_R4	HiC_scaffold_1	1127465	1130399	2935	1	South-East_Outgroup_2(East Jylland)	0.0
EntNic_HiC_scaffold_1_R4	HiC_scaffold_1	1127465	1130399	2935	1	South-East_South Costal Denmark	0.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	North-West_Middle Jylland	0.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	North-West_North Jylland (Middle)	0.144
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	North-West_North Jylland (Top)	0.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	North-West_North Jylland (West)	0.268
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	Outgroup_1	0.603
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	South-East_East Jylland	0.391
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	South-East_North Sjaeland	0.694
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	South-East_Outgroup_2(East Jylland)	0.0
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	South-East_South Costal Denmark	1.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	North-West_Middle Jylland	0.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	North-West_North Jylland (Middle)	0.899
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	North-West_North Jylland (Top)	0.967
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	North-West_North Jylland (West)	0.225
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	Outgroup_1	0.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	South-East_East Jylland	0.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	South-East_North Sjaeland	0.0
